DATE,INDPRO_CHG
1940-06-01,0.2770
1940-07-01,0.1107
1940-08-01,0.0554
1940-09-01,0.1939
1940-10-01,0.1384
1940-11-01,0.2216
1940-12-01,0.3323
1941-01-01,0.2492
1941-02-01,0.3046
1941-03-01,0.3323
1941-04-01,0.0277
1941-05-01,0.4985
1941-06-01,0.0831
1941-07-01,0.1385
1941-08-01,0.1384
1941-09-01,0.0000
1941-10-01,0.1108
1941-11-01,0.0554
1941-12-01,0.1938
1942-01-01,0.2493
1942-02-01,0.2215
1942-03-01,0.1385
1942-04-01,-0.3600
1942-05-01,0.0276
1942-06-01,0.0278
1942-07-01,0.3046
1942-08-01,0.3877
1942-09-01,0.3046
1942-10-01,0.4431
1942-11-01,0.3323
1942-12-01,0.3323
1943-01-01,0.1385
1943-02-01,0.3877
1943-03-01,0.1107
1943-04-01,0.1939
1943-05-01,0.1107
1943-06-01,-0.0830
1943-07-01,0.4707
1943-08-01,0.3324
1943-09-01,0.4154
1943-10-01,0.2492
1943-11-01,0.2215
1943-12-01,-0.2215
1944-01-01,0.1938
1944-02-01,0.1385
1944-03-01,-0.0277
1944-04-01,0.0000
1944-05-01,-0.1107
1944-06-01,-0.0554
1944-07-01,-0.0277
1944-08-01,0.2215
1944-09-01,-0.1108
1944-10-01,0.0554
1944-11-01,-0.1384
1944-12-01,-0.0554
1945-01-01,-0.1662
1945-02-01,-0.0554
1945-03-01,-0.1108
1945-04-01,-0.3046
1945-05-01,-0.4430
1945-06-01,-0.3601
1945-07-01,-0.3599
1945-08-01,-1.5785
1945-09-01,-1.2185
1945-10-01,-0.4985
1945-11-01,0.4431
1945-12-01,0.0554
1946-01-01,-0.6924
1946-02-01,-0.5815
1946-03-01,1.1631
1946-04-01,-0.2215
1946-05-01,-0.4431
1946-06-01,0.7200
1946-07-01,0.4154
1946-08-01,0.4707
1946-09-01,0.2493
1946-10-01,0.2492
1946-11-01,0.0831
1946-12-01,0.0831
1947-01-01,0.1661
1947-02-01,0.0831
1947-03-01,0.0831
1947-04-01,-0.1108
1947-05-01,0.0554
1947-06-01,0.0000
1947-07-01,-0.0831
1947-08-01,0.0831
1947-09-01,0.1108
1947-10-01,0.1384
1947-11-01,0.1939
1947-12-01,0.0554
1948-01-01,0.0831
1948-02-01,0.0277
1948-03-01,-0.1662
1948-04-01,0.0277
1948-05-01,0.2492
1948-06-01,0.1939
1948-07-01,0.0000
1948-08-01,-0.0554
1948-09-01,-0.1108
1948-10-01,0.1108
1948-11-01,-0.1939
1948-12-01,-0.1384
1949-01-01,-0.1385
1949-02-01,-0.1384
1949-03-01,-0.2770
1949-04-01,-0.0831
1949-05-01,-0.1938
1949-06-01,-0.0277
1949-07-01,-0.0277
1949-08-01,0.1385
1949-09-01,0.1384
1949-10-01,-0.5261
1949-11-01,0.3600
1949-12-01,0.2492
1950-01-01,0.2492
1950-02-01,0.0554
1950-03-01,0.4708
1950-04-01,0.4985
1950-05-01,0.3600
1950-06-01,0.4708
1950-07-01,0.5261
1950-08-01,0.5262
1950-09-01,-0.1108
1950-10-01,0.1108
1950-11-01,-0.0277
1950-12-01,0.3046
1951-01-01,0.0554
1951-02-01,0.1108
1951-03-01,0.0830
1951-04-01,0.0277
1951-05-01,-0.0553
1951-06-01,-0.0831
1951-07-01,-0.2770
1951-08-01,-0.1661
1951-09-01,0.1108
1951-10-01,-0.0277
1951-11-01,0.1384
1951-12-01,0.1108
1952-01-01,0.1938
1952-02-01,0.1108
1952-03-01,0.0554
1952-04-01,-0.1662
1952-05-01,-0.1661
1952-06-01,-0.1662
1952-07-01,-0.2769
1952-08-01,1.1077
1952-09-01,0.6646
1952-10-01,0.1939
1952-11-01,0.3877
1952-12-01,0.1108
1953-01-01,0.0553
1953-02-01,0.1108
1953-03-01,0.1662
1953-04-01,0.0831
1953-05-01,0.1107
1953-06-01,-0.0831
1953-07-01,0.2493
1953-08-01,-0.1108
1953-09-01,-0.4154
1953-10-01,-0.1661
1953-11-01,-0.4708
1953-12-01,-0.4708
1954-01-01,-0.1385
1954-02-01,0.0554
1954-03-01,-0.1107
1954-04-01,-0.1108
1954-05-01,0.1108
1954-06-01,0.0554
1954-07-01,0.0276
1954-08-01,-0.0277
1954-09-01,0.0277
1954-10-01,0.2216
1954-11-01,0.3046
1954-12-01,0.2492
1955-01-01,0.4431
1955-02-01,0.2493
1955-03-01,0.4707
1955-04-01,0.2493
1955-05-01,0.3323
1955-06-01,0.0277
1955-07-01,0.1661
1955-08-01,-0.0277
1955-09-01,0.1385
1955-10-01,0.3600
1955-11-01,0.0554
1955-12-01,0.0831
1956-01-01,0.1384
1956-02-01,-0.1938
1956-03-01,0.0000
1956-04-01,0.1662
1956-05-01,-0.1939
1956-06-01,-0.1938
1956-07-01,-0.6647
1956-08-01,0.8585
1956-09-01,0.4985
1956-10-01,0.1938
1956-11-01,-0.1938
1956-12-01,0.3323
1957-01-01,-0.0831
1957-02-01,0.2216
1957-03-01,-0.0277
1957-04-01,-0.3047
1957-05-01,-0.0830
1957-06-01,0.0554
1957-07-01,0.1384
1957-08-01,0.0000
1957-09-01,-0.1938
1957-10-01,-0.3324
1957-11-01,-0.5261
1957-12-01,-0.4154
1958-01-01,-0.3877
1958-02-01,-0.4431
1958-03-01,-0.2492
1958-04-01,-0.3323
1958-05-01,0.1938
1958-06-01,0.5262
1958-07-01,0.3046
1958-08-01,0.4154
1958-09-01,0.1938
1958-10-01,0.2493
1958-11-01,0.6369
1958-12-01,0.0277
1959-01-01,0.3323
1959-02-01,0.4431
1959-03-01,0.3323
1959-04-01,0.4985
1959-05-01,0.3600
1959-06-01,0.0277
1959-07-01,-0.5816
1959-08-01,-0.8031
1959-09-01,-0.0276
1959-10-01,-0.1662
1959-11-01,0.1385
1959-12-01,1.4123
1960-01-01,0.6369
1960-02-01,-0.2215
1960-03-01,-0.2215
1960-04-01,-0.1939
1960-05-01,-0.0277
1960-06-01,-0.3046
1960-07-01,-0.0831
1960-08-01,-0.0277
1960-09-01,-0.2492
1960-10-01,-0.0277
1960-11-01,-0.3323
1960-12-01,-0.4431
1961-01-01,0.0277
1961-02-01,-0.0277
1961-03-01,0.1385
1961-04-01,0.4707
1961-05-01,0.3600
1961-06-01,0.3323
1961-07-01,0.2770
1961-08-01,0.2215
1961-09-01,-0.0277
1961-10-01,0.4708
1961-11-01,0.3877
1961-12-01,0.2215
1962-01-01,-0.2215
1962-02-01,0.4154
1962-03-01,0.1385
1962-04-01,0.0553
1962-05-01,-0.0277
1962-06-01,-0.0553
1962-07-01,0.2492
1962-08-01,0.0277
